wku,title,abstract,claims,descriptions
10530379,0,0,0,0
10530380,0,0,0,0
10530390,0,0,0,0
10530391,0,0,0,0
10530393,0,0,0,0
10530396,0,0,0,0
10530397,0,0,0,0
10530402,0,0,0,0
10530403,0,0,0,7
10530405,0,0,0,0
10530408,0,0,0,0
10530412,0,0,0,0
10530415,0,0,0,0
10530417,0,0,0,0
10530418,0,0,0,0
10530421,0,0,0,0
10530422,0,0,0,0
10530423,0,0,0,7
10530438,0,0,0,0
10530439,0,0,0,0
10530441,0,0,0,0
10530442,0,0,0,0
10530459,0,0,0,7
10530461,0,0,0,0
10530465,0,0,2,1
10530479,0,0,0,0
10530480,0,0,0,0
10530482,0,0,0,0
10530488,0,0,0,0
10530494,0,0,0,0
10530503,0,0,0,0
10530505,0,0,0,7
10530506,0,0,0,0
10530509,0,0,0,0
10530510,0,0,0,0
10530511,0,0,0,0
10530514,0,0,0,0
10530520,0,0,0,0
10530523,0,0,0,0
10530529,0,0,0,0
10530532,0,0,0,0
10530535,0,0,0,0
10530544,0,0,0,0
10530558,0,0,0,0
10530560,0,0,0,0
10530568,0,0,0,0
10530569,0,0,0,0
10530578,0,0,0,0
10530588,0,0,0,7
10530589,0,0,0,0
10530594,0,0,0,0
10530595,0,0,0,0
10530599,0,0,0,0
10530607,0,0,0,0
10530611,0,0,0,0
10530613,0,0,0,0
10530614,0,0,0,2
10530615,0,0,0,0
10530617,0,0,0,0
10530618,0,0,0,0
10530623,0,0,0,0
10530625,0,0,0,0
10530632,0,0,0,11
10530635,0,0,0,0
10530641,0,0,0,0
10530645,0,0,0,0
10530646,0,0,0,0
10530647,0,0,0,7
10530648,0,0,0,0
10530652,0,0,0,0
10530656,0,0,0,0
10530657,0,0,0,0
10530660,0,0,0,0
10530661,0,0,0,0
10530662,0,0,0,17
10530665,0,0,3,20
10530667,0,0,0,2
10530670,0,0,0,0
10530676,0,0,0,0
10530680,0,0,0,0
10530681,0,0,0,0
10530682,0,0,0,0
10530683,0,0,0,0
10530684,0,0,0,0
10530692,0,0,0,0
10530696,0,0,0,0
10530698,0,0,0,0
10530703,0,0,0,0
10530704,0,0,0,0
10530706,0,0,0,0
10530709,0,0,0,0
10530711,0,0,0,0
10530712,0,0,0,0
10530713,0,0,0,0
10530714,0,0,0,0
10530719,0,0,0,0
10530721,0,0,0,0
10530723,0,0,0,44
10530724,0,0,0,0
10530725,0,0,0,0
10530729,0,0,0,0
10530734,0,0,0,0
10530735,0,0,0,0
10530736,0,0,0,0
10530738,0,0,0,0
10530740,1,0,3,4
10530742,0,0,0,0
10530747,0,0,0,0
10530750,0,0,0,0
10530751,0,0,0,0
10530752,0,0,0,0
10530755,0,0,0,0
